mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__max_depth,param_clf__max_features,param_clf__min_samples_leaf,param_clf__min_samples_split,param_clf__n_estimators,params,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy
1.6206546783447267,0.10612213725051381,0.11160030364990234,0.012473231563520384,,sqrt,1,2,200,"{'clf__max_depth': None, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2, 'clf__n_estimators': 200}",0.9661189610694184,0.9525826688555347,0.956449158676929,0.9413215937126058,0.9397835408834586,0.9512511846395892,0.00979740975536195,1,0.5925925925925926,0.5608465608465609,0.696078431372549,0.5989304812834225,0.606060606060606,0.6109017344311461,0.04530466246452289,46,0.8835098335854765,0.8744326777609682,0.906060606060606,0.8863636363636364,0.8818181818181818,0.8864369871177736,0.010574467684736522,23
3.1759223461151125,0.1461379900565345,0.1804720401763916,0.01926484929054641,,sqrt,1,2,400,"{'clf__max_depth': None, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2, 'clf__n_estimators': 400}",0.9639276500938087,0.9545101430581613,0.9569736006263756,0.9364095670029988,0.9409803806390977,0.9505602682840883,0.01027069455243996,2,0.5999999999999999,0.5454545454545455,0.6926829268292682,0.6170212765957447,0.6161616161616161,0.6142640730082348,0.04711461415992434,45,0.8850226928895613,0.8714069591527988,0.9045454545454545,0.8909090909090909,0.8848484848484849,0.887346536469078,0.010716391305274553,20
1.4674803733825683,0.12479105161468963,0.09886469841003417,0.004936507604309161,,sqrt,1,5,200,"{'clf__max_depth': None, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 5, 'clf__n_estimators': 200}",0.9570532363977486,0.9455909943714822,0.9479694494098181,0.9240962609504957,0.9282630404135339,0.9405945963086157,0.01244589591659085,8,0.6698564593301436,0.6280193236714977,0.7272727272727274,0.6567164179104477,0.6636363636363636,0.6691002583642359,0.03242056391866564,14,0.8956127080181543,0.8835098335854765,0.9090909090909091,0.8954545454545455,0.8878787878787879,0.8943093568055748,0.008711904360043593,3
2.8481232643127443,0.121153698599935,0.15681753158569336,0.0028351598343677124,,sqrt,1,5,400,"{'clf__max_depth': None, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 5, 'clf__n_estimators': 400}",0.9575515947467167,0.9439933161350844,0.9483240017136695,0.9261349366976407,0.9278371710526315,0.9407682040691485,0.01208733020446587,7,0.6274509803921569,0.594059405940594,0.7397260273972603,0.6497461928934011,0.6454545454545454,0.6512874304155916,0.04837562719218276,30,0.8850226928895613,0.875945537065053,0.9136363636363637,0.8954545454545455,0.8818181818181818,0.890375464172741,0.013243629023517783,14
1.481858253479004,0.06331121638726067,0.09276957511901855,0.0029021954959885105,,sqrt,2,2,200,"{'clf__max_depth': None, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 2, 'clf__min_samples_split': 2, 'clf__n_estimators': 200}",0.9510436210131332,0.9371042448405255,0.9427102569026901,0.9164142943670504,0.9191141917293233,0.9332773217705445,0.0134478469648012,19,0.6481481481481481,0.6445497630331753,0.7192982456140351,0.6442307692307692,0.6306306306306305,0.6573715113313516,0.03153455844102899,26,0.8850226928895613,0.886535552193646,0.9030303030303031,0.8878787878787879,0.8757575757575757,0.8876449823499748,0.008788406342913611,19
2.8468446731567383,0.1650190927170876,0.1726816177368164,0.018835129644437083,,sqrt,2,2,400,"{'clf__max_depth': None, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 2, 'clf__min_samples_split': 2, 'clf__n_estimators': 400}",0.9514540337711069,0.9383941135084428,0.9438034598395652,0.9194870810004283,0.9224183505639098,0.9351114077366904,0.01231781343418326,14,0.641860465116279,0.6445497630331753,0.7423580786026202,0.6571428571428571,0.6666666666666667,0.6705155661123197,0.03701439643079936,12,0.8835098335854765,0.886535552193646,0.9106060606060606,0.8909090909090909,0.8863636363636364,0.8915848347315821,0.009800259930598975,11
1.4165388584136962,0.0517550450538312,0.13736743927001954,0.04274620249599802,,sqrt,2,5,200,"{'clf__max_depth': None, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 2, 'clf__min_samples_split': 5, 'clf__n_estimators': 200}",0.9475844277673546,0.9423076923076923,0.9389874577122512,0.9176109083925486,0.9194225798872179,0.9331826132134129,0.012297902737823259,20,0.6575342465753425,0.6448598130841121,0.7413793103448276,0.676056338028169,0.6550218340611355,0.6749703084187173,0.03469851526573176,7,0.886535552193646,0.8850226928895613,0.9090909090909091,0.8954545454545455,0.8803030303030303,0.8912813459863385,0.010166738359258135,12
2.9138551712036134,0.10688230715699905,0.16647748947143554,0.009147783212293106,,sqrt,2,5,400,"{'clf__max_depth': None, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 2, 'clf__min_samples_split': 5, 'clf__n_estimators': 400}",0.9487716932457786,0.9394787757973734,0.9402136177630704,0.920535964899322,0.921610667293233,0.9341221437997556,0.011149261516916455,18,0.6576576576576576,0.6291079812206574,0.7467811158798284,0.6666666666666666,0.6491228070175439,0.6698672456884708,0.04041462742497822,13,0.8850226928895613,0.8804841149773072,0.9106060606060606,0.8939393939393939,0.8787878787878788,0.8897680282400403,0.01166959142159927,16
1.4881129741668702,0.03520333499565181,0.1010960578918457,0.0028753470606832695,,log2,1,2,200,"{'clf__max_depth': None, 'clf__max_features': 'log2', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2, 'clf__n_estimators': 200}",0.9614944887429644,0.9531030136022514,0.9566116618161943,0.9332333692809974,0.9397835408834586,0.9488452148651731,0.010623505408845907,4,0.625,0.5405405405405405,0.6700507614213197,0.5555555555555556,0.606060606060606,0.5994414927156042,0.04707019530611979,48,0.8910741301059002,0.8714069591527988,0.9015151515151515,0.8787878787878788,0.8818181818181818,0.8849204602759823,0.01042208069094887,25
3.0065751552581785,0.10216482740643602,0.18674688339233397,0.02314131697699435,,log2,1,2,400,"{'clf__max_depth': None, 'clf__max_features': 'log2', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2, 'clf__n_estimators': 400}",0.9646165572232646,0.9531543151969981,0.9568997355630734,0.9338464493064071,0.9409803806390977,0.9498994875857683,0.011076461709068328,3,0.6243386243386243,0.532608695652174,0.6767676767676767,0.5869565217391304,0.6161616161616161,0.6073666269318443,0.04730164253604055,47,0.8925869894099848,0.869894099848714,0.9030303030303031,0.8848484848484849,0.8848484848484849,0.8870416723971942,0.010863206136747575,21
